timestamp,value
2018-05-04T12:25:54,164
2018-05-14T11:16:07,233
2018-05-14T13:46:02,178
2018-05-14T14:44:43,188
2018-05-14T14:48:33,138
2018-05-14T14:54:31,188
2018-05-14T17:43:01,160
2018-05-14T18:59:00,210
2018-05-15T11:40:01,-1
2018-05-15T11:41:01,210
2018-05-15T14:35:01,160
2018-05-15T15:51:01,115
2018-05-15T18:19:01,179
2018-05-16T09:01:01,71
2018-05-16T12:14:01,117
2018-05-17T06:17:01,-1
2018-05-24T15:36:02,151
2018-05-24T21:35:02,218
2018-05-25T18:20:02,175
2018-05-25T22:28:02,197
2018-05-26T13:07:02,211
2018-05-27T02:44:02,235
2018-05-28T06:06:02,205
2018-05-29T15:42:02,130
2018-05-29T16:01:02,128
2018-05-30T09:03:02,57
2018-05-30T13:09:02,170
2018-05-30T14:35:02,185
2018-05-30T15:41:02,154
2018-05-30T16:10:02,143
2018-05-31T09:11:02,75
2018-05-31T11:03:02,-1
2018-05-31T11:04:02,75
2018-05-31T13:32:02,166
2018-05-31T17:35:02,145
2018-05-31T18:41:02,165
2018-05-31T22:48:05,0
2018-06-01T05:07:02,240
2018-06-01T05:09:02,0
2018-06-01T08:01:02,240
2018-06-01T08:03:02,0
2018-06-01T15:39:02,159
2018-06-01T15:40:02,0
2018-06-04T06:09:00,100
2018-06-04T06:11:00,0
2018-06-04T13:14:00,181
2018-06-04T13:15:00,0
2018-06-04T14:35:00,181
2018-06-04T14:36:01,0
2018-06-05T05:32:00,100
2018-06-05T14:21:01,179
2018-06-07T06:07:00,100
2018-06-07T07:51:00,70
2018-06-07T13:19:01,164
2018-06-07T23:14:01,232
2018-06-08T04:44:01,238
2018-06-08T21:07:00,73
2018-06-08T22:08:00,100
2018-06-08T23:17:00,155
2018-06-08T23:40:00,182
2018-06-09T00:35:59,208
2018-06-09T04:42:00,238
2018-06-09T17:24:00,192
2018-06-09T19:50:00,149
2018-06-09T23:33:00,211
2018-06-10T04:59:00,240
2018-06-11T09:03:00,57
2018-06-12T08:06:00,79
2018-06-12T14:57:00,158
2018-06-12T16:41:00,143
2018-06-12T18:08:01,180
2018-06-13T14:58:00,185
2018-06-13T17:26:01,169
2018-06-13T18:25:00,210
2018-06-14T15:07:01,174
2018-06-14T16:37:01,149
2018-06-14T17:57:01,165
2018-06-14T20:59:00,219
2018-06-15T12:39:01,146
2018-06-15T13:00:01,166
2018-06-15T13:48:01,203
2018-06-15T14:52:01,210
2018-06-15T16:09:01,198
2018-06-15T17:25:01,186
2018-06-15T20:43:00,176
2018-06-15T22:20:01,91
2018-06-16T04:24:01,244
2018-06-16T09:17:02,232
2018-06-16T18:22:01,124
2018-06-17T04:09:03,249
